t,P(t)
630.0,0.00038
631.0,0.00024
632.0,0.00033
633.0,0.00032
634.0,0.00042
635.0,0.00029
636.0,0.00033
637.0,0.00026
638.0,0.00031
639.0,0.0004
640.0,0.0003
641.0,0.00041
642.0,0.00027
643.0,0.00031
644.0,0.00034
645.0,0.00035
646.0,0.00041
647.0,0.00037
648.0,0.00034
649.0,0.00039
650.0,0.00036
651.0,0.00052
652.0,0.0004
653.0,0.00027
654.0,0.00035
655.0,0.00036
656.0,0.00031
657.0,0.00039
658.0,0.0003
659.0,0.00027
660.0,0.00034
661.0,0.0003
662.0,0.00036
663.0,0.00038
664.0,0.00029
665.0,0.00039
666.0,0.00033
667.0,0.00039
668.0,0.00022
669.0,0.00034
670.0,0.0003
671.0,0.00029
672.0,0.00038
673.0,0.00037
674.0,0.0004
675.0,0.0003
676.0,0.0003
677.0,0.00027
678.0,0.00034
679.0,0.00049
680.0,0.00048
681.0,0.0003
682.0,0.00033
683.0,0.00037
684.0,0.00033
685.0,0.00023
686.0,0.00032
687.0,0.00036
688.0,0.0003
689.0,0.00022
690.0,0.00021
691.0,0.00024
692.0,0.00031
693.0,0.00026
694.0,0.00027
695.0,0.00037
696.0,0.00035
697.0,0.00024
698.0,0.00033
699.0,0.0003
700.0,0.00037
701.0,0.00052
702.0,0.00032
703.0,0.00032
704.0,0.00035
705.0,0.00031
706.0,0.0002
707.0,0.00039
708.0,0.00029
709.0,0.00029
710.0,0.00039
711.0,0.00032
712.0,0.00036
713.0,0.00037
714.0,0.00028
715.0,0.00034
716.0,0.00044
717.0,0.00028
718.0,0.00044
719.0,0.00032
720.0,0.0004
721.0,0.00034
722.0,0.00037
723.0,0.00038
724.0,0.00042
725.0,0.00025
726.0,0.00029
727.0,0.00026
728.0,0.0003
729.0,0.0003
730.0,0.00034
731.0,0.00032
732.0,0.00032
733.0,0.00039
734.0,0.00031
735.0,0.00037
736.0,0.0003
737.0,0.0003
738.0,0.00033
739.0,0.00036
740.0,0.0003
741.0,0.00029
742.0,0.00026
743.0,0.00033
744.0,0.00027
745.0,0.00022
746.0,0.00042
747.0,0.00033
748.0,0.00043
749.0,0.00035
750.0,0.00028
751.0,0.00031
752.0,0.00037
753.0,0.00024
754.0,0.00031
755.0,0.00034
756.0,0.00043
757.0,0.00035
758.0,0.00038
759.0,0.00037
760.0,0.00041
761.0,0.00035
762.0,0.00036
763.0,0.00032
764.0,0.00028
765.0,0.00022
766.0,0.00021
767.0,0.00027
768.0,0.00019
769.0,0.00022
770.0,0.00034
771.0,0.00038
772.0,0.00027
773.0,0.0003
774.0,0.00033
775.0,0.00027
776.0,0.00034
777.0,0.00035
778.0,0.00035
779.0,0.0003
780.0,0.00029
781.0,0.0003
782.0,0.00023
783.0,0.00029
784.0,0.00025
785.0,0.00035
786.0,0.00031
787.0,0.00031
788.0,0.00029
789.0,0.00037
790.0,0.00032
791.0,0.00033
792.0,0.0003
793.0,0.0002
794.0,0.00026
795.0,0.00035
796.0,0.0003
797.0,0.00038
798.0,0.00027
799.0,0.00029
800.0,0.00032
801.0,0.00037
802.0,0.00019
803.0,0.00034
804.0,0.00037
805.0,0.00031
806.0,0.00028
807.0,0.00029
808.0,0.00036
809.0,0.00028
810.0,0.00036
811.0,0.00029
812.0,0.0002
813.0,0.00029
814.0,0.00042
815.0,0.00039
816.0,0.00028
817.0,0.00028
818.0,0.00029
819.0,0.00029
820.0,0.00029
821.0,0.00035
822.0,0.00029
823.0,0.00032
824.0,0.00035
825.0,0.00041
826.0,0.0004
827.0,0.00027
828.0,0.0002
829.0,0.00033
830.0,0.00025
831.0,0.0003
832.0,0.00025
833.0,0.00026
834.0,0.00026
835.0,0.00026
836.0,0.00035
837.0,0.00026
838.0,0.00027
839.0,0.00024
840.0,0.0003
841.0,0.00032
842.0,0.00028
843.0,0.00034
844.0,0.00025
845.0,0.00032
846.0,0.00031
847.0,0.00039
848.0,0.00037
849.0,0.00029
850.0,0.00025
851.0,0.00027
852.0,0.00023
853.0,0.0003
854.0,0.00027
855.0,0.00031
856.0,0.00023
857.0,0.00022
858.0,0.00025
859.0,0.00024
860.0,0.00031
861.0,0.00026
862.0,0.00031
863.0,0.00025
864.0,0.00017
865.0,0.00025
866.0,0.00023
867.0,0.00032
868.0,0.00031
869.0,0.00026
870.0,0.00026
